,0
Annual return,-0.002101629328521315
Cumulative returns,-0.002243246774998431
Annual volatility,0.002660986566330828
Sharpe ratio,-0.7922455862870801
Calmar ratio,-0.48033444228314515
Stability,0.0003401183100407735
Max drawdown,-0.00437534589135804
Omega ratio,0.8652478428356077
Sortino ratio,-1.0770835855061027
Skew,
Kurtosis,
Tail ratio,1.005319673962238
Daily value at risk,-0.0003436184889741485
