time,open,high,low,close,MA,Smoothing Line,EMA,Smoothing Line,DEMA,Volume,Volume MA
1993-05-09T21:00:00Z,110.36,112.11,110.26,111.76,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-10T21:00:00Z,111.76,112.91000000000001,111.06,111.26,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-11T21:00:00Z,111.26,112.16000000000001,111.06,111.61,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-12T21:00:00Z,111.61,112.13000000000001,111.41000000000001,111.81,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-13T21:00:00Z,111.81,112.41000000000001,110.71000000000001,111.01,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-16T21:00:00Z,111.01,111.57000000000001,110.56,111.34,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-17T21:00:00Z,111.34,112.02000000000001,111.24000000000001,111.56,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-18T21:00:00Z,111.56,111.96000000000001,109.99000000000001,110.56,NaN,NaN,NaN,NaN,NaN,0,NaN
1993-05-19T21:00:00Z,110.56,111.07000000000001,110.24000000000001,110.56,111.27444444444444,NaN,111.27444444444444,NaN,NaN,0,NaN
1993-05-20T21:00:00Z,110.56,110.75,109.98,110.33,111.11555555555555,NaN,111.08555555555556,NaN,NaN,0,NaN
1993-05-23T21:00:00Z,110.33,110.91000000000001,110.28,110.46000000000001,111.02666666666667,NaN,110.96044444444445,NaN,NaN,0,NaN
1993-05-24T21:00:00Z,110.46000000000001,110.76,109.21000000000001,109.46000000000001,110.78777777777778,NaN,110.66035555555555,NaN,NaN,0,NaN
1993-05-25T21:00:00Z,109.46000000000001,109.46000000000001,108.36,108.81,110.45444444444445,110.93177777777778,110.29028444444444,110.85421688888889,NaN,0,NaN
1993-05-26T21:00:00Z,108.81,108.84,107.13000000000001,108.06,110.12666666666667,110.70222222222222,109.84422755555555,110.5681735111111,NaN,0,NaN
1993-05-27T21:00:00Z,108.06,108.21000000000001,106.81,107.51,109.70111111111112,110.41933333333334,109.37738204444445,110.22653880888888,NaN,0,NaN
